ensembl_gene_id,hgnc_symbol
ENSG00000277751,LILRB2
ENSG00000277641,WNT3
ENSG00000275463,LILRB2
ENSG00000274513,LILRB2
ENSG00000276021,WDR81
ENSG00000277626,WNT3
ENSG00000276146,LILRB2
ENSG00000225890,HLA-DQA1
ENSG00000236418,HLA-DQA1
ENSG00000232062,HLA-DQA1
ENSG00000228284,HLA-DQA1
ENSG00000142192,APP
ENSG00000281614,INPP5D
ENSG00000206305,HLA-DQA1
ENSG00000073712,FERMT2
ENSG00000285132,CTSB
ENSG00000284816,EPHA1
ENSG00000154734,ADAMTS1
ENSG00000154122,ANKH
ENSG00000138613,APH1B
ENSG00000064687,ABCA7
ENSG00000124602,UNC5CL
ENSG00000127184,COX7C
ENSG00000100599,RIN3
ENSG00000198087,CD2AP
ENSG00000073921,PICALM
ENSG00000087589,CASS4
ENSG00000120899,PTK2B
ENSG00000095970,TREM2
ENSG00000108798,ABI3
ENSG00000125520,SLC2A4RG
ENSG00000003147,ICA1
ENSG00000112195,TREML2
ENSG00000137642,SORL1
ENSG00000137845,ADAM10
ENSG00000128923,MINDY2
ENSG00000140090,SLC24A4
ENSG00000071051,NCK2
ENSG00000132432,SEC61G
ENSG00000146090,RASGEF1C
ENSG00000178573,MAF
ENSG00000161640,SIGLEC11
ENSG00000179526,SHARPIN
ENSG00000165029,ABCA1
ENSG00000103241,FOXF1
ENSG00000028528,SNX1
ENSG00000164733,CTSB
ENSG00000125826,RBCK1
ENSG00000103507,BCKDK
ENSG00000149927,DOC2A
ENSG00000168918,INPP5D
ENSG00000136717,BIN1
ENSG00000167716,WDR81
ENSG00000103811,CTSH
ENSG00000085514,PILRA
ENSG00000074266,EED
ENSG00000115825,PRKD3
ENSG00000129911,KLF16
ENSG00000159640,ACE
ENSG00000066336,SPI1
ENSG00000113108,APBB3
ENSG00000110079,MS4A4A
ENSG00000249853,HS3ST5
ENSG00000186815,TPCN1
ENSG00000148429,USP6NL
ENSG00000120885,CLU
ENSG00000196735,HLA-DQA1
ENSG00000107679,PLEKHA1
ENSG00000131042,LILRB2
ENSG00000165806,CASP7
ENSG00000146904,EPHA1
ENSG00000130203,APOE
ENSG00000080815,PSEN1
ENSG00000138600,SPPL2A
ENSG00000095585,BLNK
ENSG00000126856,PRDM7
ENSG00000030582,GRN
ENSG00000106460,TMEM106B
ENSG00000145901,TNIP1
ENSG00000109684,CLNK
ENSG00000196549,MME
ENSG00000219545,UMAD1
ENSG00000108219,TSPAN14
ENSG00000151150,ANK3
ENSG00000110077,MS4A6A
ENSG00000127415,IDUA
ENSG00000157368,IL34
ENSG00000091536,MYO15A
ENSG00000214300,SPDYE3
ENSG00000168421,RHOH
ENSG00000153814,JAZF1
ENSG00000143801,PSEN2
ENSG00000161929,SCIMP
ENSG00000108379,WNT3
ENSG00000197943,PLCG2
ENSG00000086289,EPDR1
ENSG00000138442,WDR12
ENSG00000005379,TSPOAP1
ENSG00000151694,ADAM17
ENSG00000134243,SORT1
ENSG00000203710,CR1
